sku,price,memberships,productClass,taxClass,enabled,weight,shippable,images,imagesAlt,arrivalDate,date,updateDate,categories,inventoryTrackingEnabled,stockLevel,lowLimitEnabled,lowLimitLevel,cleanURL,useSeparateBox,boxWidth,boxLength,boxHeight,itemsPerBox,metaDescType,name_en,description_en,briefDescription_en,metaTags_en,metaDesc_en,metaTitle_en,Size (field:product),Style (field:product),Embroidery (field:product),Color (field:product),Lost Car Logo On Sleeve (Free) (field:product),Quantity (field:product),Sleeve Length (field:product),Neck Size (field:product),Display type (field:class >>> Display),Graphic (field:class >>> Specifications),"Storage, GB (field:class >>> Specifications)","Memory, GB (field:class >>> Specifications)",CPU (field:class >>> Specifications),LTE (field:class >>> Cellular and Wireless),GLONASS (field:class >>> Cellular and Wireless),GPS (field:class >>> Cellular and Wireless),"Dimension, inches (field:class >>> Display)",Resolution (field:class >>> Display),"Weight, kg (field:class >>> Size and Weight)","Depth, inches (field:class >>> Size and Weight)","Width, inches (field:class >>> Size and Weight)","Height, inches (field:class >>> Size and Weight)",Battery type (field:class >>> Battery),Bluetooth (field:class >>> Cellular and Wireless),Wi-Fi (field:class >>> Cellular and Wireless),CDMA model (field:class >>> Cellular and Wireless),"Height, inches (field:class >>> Size & weight)_en",Standby time (field:class >>> Power and Battery)_en,Talk time (field:class >>> Power and Battery)_en,Battery type (field:class >>> Power and Battery),"Capacity, GB (field:class)",Sleeve (field:class),"Width, inches (field:class >>> Size & weight)_en","Depth, inches (field:class >>> Size & weight)_en",GSM model (field:class >>> Cellular and Wireless),Color (field:class),SIM card (field:class),Audio playback (field:class >>> Power and Battery)_en,Video playback (field:class >>> Power and Battery)_en,Chip (field:class),"Weight, grams (field:class >>> Size & weight)_en",Size (field:class),Size (field:global),openGraphMeta,useCustomOpenGraphMeta,sale,freeShipping,freightFixedFee,variantSKU,variantPrice,variantQuantity,variantWeight,variantImage,variantImageAlt,relatedProducts,!GENERATE_THUMBNAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,!GENERATE_THUMBNAIL
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,Gray Shirt - Red Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,images/product_variant/lc gr_4_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc bw_5_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc bg_7_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc gg_4_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Gray Shirt - Red Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,images/product_variant/lc gr_3_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc bw_4_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc bg_8_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc gg_5_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Gray Shirt - Red Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,images/product_variant/lc gr_2_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc bg_3_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc bg_9_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/lc gg_6_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,Gray Shirt - Red Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,images/product_variant/lc gr_1_1_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,30,,,,Yes,1,Yes,images/product/bw_2.jpeg&&images/product/bg_2.jpeg,,"Mon, 22 Jun 2015 07:00:00 +0000","Mon, 22 Jun 2015 22:48:44 +0000","Thu, 02 Jul 2015 16:41:07 +0000",T-Shirts,Yes,100,No,10,women-s-hashtag-shirt.html,No,0,0,0,1,A,Women's Hashtag Shirt,,"<ul>
<li>3.2 oz., pre-shrunk 100% ringspun cotton, 40 singles</li>
<li>Contoured silhouette with side seams</li>
<li>Display tape and single-needle seamed collarette</li>
<li>Double-needle stitched sleeves and bottom hem</li>
<li>Mitered v-neck</li>
</ul>
<p>&nbsp;</p>
<p>FREE SHIPPING ON ALL T-SHIRTS!</p>",,,,XS,,Yes&&No=default,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,0,,,,,images/product_variant/wlc bw_2_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bg_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bw_1_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bg_1_1_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bw_3_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bg_2_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bw_4_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bg_3_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bw_5_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bg_4_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Black Shirt - White Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bw_6_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Black Shirt - Gray Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/product_variant/wlc bg_5_1.jpeg,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,Gray Shirt - Black Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,30,,,,No,1,Yes,images/product/lcc_1.jpeg&&images/product/lcc2_1.jpeg,,"Mon, 22 Jun 2015 08:15:05 +0000","Mon, 22 Jun 2015 23:03:36 +0000","Tue, 10 Jan 2017 23:18:13 +0000",T-Shirts,Yes,99,No,10,men-s-city-shirt.html,No,0,0,0,1,A,Men's City Shirt,,"<ul><li>4.8 oz., 50/50 combed ringspun transitional organic cotton/post-consumer P.E.T. recycled polyester</li>
<li>Shoulder-to-shoulder taping</li>
<li>Seamed collarette</li>
<li>Double-needle sleeve and bottom hem</li>
</ul><p> </p>
<p>FREE SHIPPING ON ALL T-SHIRTS!</p>",,"4.8 oz., 50/50 combed ringspun transitional organic cotton/post-consumer P.E.T. recycled polyester
Shoulder-to-shoulder taping
Seamed collarette
Double-needle sleeve and bottom hem

 
FREE SHIPPING ON ALL T-SHIRTS!",,XS,,Yes&&No=default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,0,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
311-003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
411-001,40,,,,Yes,1,Yes,images/product/Huntington Half Bistro- Midnight (Front)_1.jpeg&&images/product/Huntington Half Bistro- MIdnight (close-up)_1.jpeg&&images/product/Huntington Half Bistro- Midnight (left pocket)_1.jpeg&&images/product/Huntington Half Bistro- Midnight (right pocket)_1.jpeg&&images/product/FullSizeRender (10).jpg,,"Tue, 30 Jun 2015 14:37:09 +0000","Tue, 30 Jun 2015 16:55:50 +0000","Tue, 10 Jan 2017 23:18:13 +0000",Aprons,Yes,1000,No,10,huntington-half-bistro.html,No,0,0,0,1,A,Huntington Half Bistro,,"<p><span style=""font-family:arial, helvetica, sans-serif;"">Take a look at this beaute! It's gotta be the best denim apron out there. Between it's stretch and durability, you won't want to take this baby off!</span></p>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">100% Cotton</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Light and Dark Blue Japanese Denim</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Contrasting gold stitch throughout</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Contrasting gold twill straps</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">2 front full size pockets</span>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">4 additional inset pen pockets</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">1 additional inset cell phone pocket</span></li>
</ul></li>
</ul><h3><span style=""font-family:arial, helvetica, sans-serif;color:#339966;"">Dimensions</span></h3>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Available in Regular and Plus Size</span>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Regular Size: 25”L X 30”W</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Plus Size: 25”L X 38”W</span></li>
</ul></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Available in 2 Colors: Indigo &amp; Midnight</span></li>
</ul><h3><span style=""font-family:arial, helvetica, sans-serif;color:#339966;"">Use &amp; Care</span></h3>
<ul><li><span style=""font-family:arial, helvetica, sans-serif;"">Machine-wash cold, gentle cycle</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Hang dry</span></li>
<li><span style=""font-family:arial, helvetica, sans-serif;"">Due to the 3% spandex in the fabric, use caution with laundering. Care instructions must be followed in order to maintain the integrity of the product. No refunds or exchanges will be made from disregard of these instructions.</span></li>
<li></li>
</ul>",,"Take a look at this beaute! It's gotta be the best denim apron out there. Between it's stretch and durability, you won't want to take this baby off!
100% Cotton
Light and Dark Blue Japanese Denim
Contrasting gold stitch throughout
Contrasting gold twill straps
2 front full size pockets
4 additional inset pen pockets
1 additional inset cell phone pocket

Dimensions
Available in Regular and Plus Size
Regular Size: 25”L X 30”W
Plus Size: 25”L X 38”W

Available in 2 Colors: Indigo &amp; Midnight
Use &amp; Care
Machine-wash cold, gentle cycle
Hang dry
Due to the 3% spandex in the fabric, use caution with laundering. Care instructions must be followed in order to maintain the integrity of the product. No refunds or exchanges will be made from disregard of these instructions.

",,Regular,,Yes&&No=default,Indigo (Light Denim)&&Midnight (Dark Denim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,No,0,,,96,,,,112467,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
